"idProducto","nombre","precio","descripcion","imagen","genero"
"3","Camiseta","$ 32.000","Color: rosa, negro, blanco","https://github.com/JuanDContreras/imagen/blob/main/001f.jpg?raw=true","f"
"4","Camiseta","$ 25.000","Color: negro, blanco","https://github.com/JuanDContreras/imagen/blob/main/001m.jpg?raw=true","m"
"5","Blusa","$ 28.000","Color: blanco, azul, amarillo","https://github.com/JuanDContreras/imagen/blob/main/002f.jpg?raw=true","f"
"6","Camiseta","$ 30.000","Color: rojo, verde, gris","https://github.com/JuanDContreras/imagen/blob/main/002m.jpg?raw=true","m"
"7","Camiseta","$ 35.000","Color: blanco, rojo","https://github.com/JuanDContreras/imagen/blob/main/003f.jpg?raw=true","f"
"8","Camiseta","$ 25.000","Color:negro, gris, amarillo","https://github.com/JuanDContreras/imagen/blob/main/003m.jpg?raw=true","m"
"12","Blusa","$ 25.000","Color: verde, negra","https://github.com/JuanDContreras/imagen/blob/main/004f.jpg?raw=true","f"
"13","Camiseta","$ 35.000","Color: unico","https://github.com/JuanDContreras/imagen/blob/main/004m.jpg?raw=true","m"
"14","Camiseta","$ 35.000","Color: unico","https://github.com/JuanDContreras/imagen/blob/main/005f.jpg?raw=true","f"
"15","Camiseta","$ 25.000","Color: unico","https://github.com/JuanDContreras/imagen/blob/main/005m.jpg?raw=true","m"
"16","Blusa","$ 20.000","Color. negro,blanco","https://github.com/JuanDContreras/imagen/blob/main/006f.jpg?raw=true","f"
"17","Camiseta","$ 20.000","Color:negr, azul, gris","https://github.com/JuanDContreras/imagen/blob/main/006m.jpg?raw=true","m"
"18","Blusa","$ 20.000","Color: único","https://github.com/JuanDContreras/imagen/blob/main/007f.jpg?raw=true","f"
"19","Camiseta","$ 35.000","Color: negra, roja","https://github.com/JuanDContreras/imagen/blob/main/007m.jpg?raw=true","m"
"20","Blusa","$ 25.000","Color: blanca, roja, violeta","https://github.com/JuanDContreras/imagen/blob/main/008f.jpg?raw=true","f"
"21","Camiseta","$ 35.000","Color: unico","https://github.com/JuanDContreras/imagen/blob/main/008m.jpg?raw=true","m"
"22","Camiseta","$ 25.000","Color: rojo, amarillo","https://github.com/JuanDContreras/imagen/blob/main/009f.jpg?raw=true","f"
"23","Camiseta","$ 20.000","Color: unico","https://github.com/JuanDContreras/imagen/blob/main/009m.jpg?raw=true","m"
"24","Camiseta","$ 35.000","Color: blanco, amarillo","https://github.com/JuanDContreras/imagen/blob/main/010f.jpg?raw=true","f"
"25","Camiseta","$ 25.000","Color:rojo, azul, gris, rosada","https://github.com/JuanDContreras/imagen/blob/main/010m.jpg?raw=true","m"
